Date ,NVDA US Equity,MSFT US Equity,AAPL US Equity,AMZN US Equity,GOOG US Equity,AVGO US Equity,META US Equity,AMD US Equity,NXPI US Equity,TSM US Equity,NEE US Equity,EQIX US Equity,IBM US Equity,CRM US Equity,SNOW US Equity,CCJ US Equity,LQD US Equity,SMH US Equity,QQA US Equity,NLR US Equity,CIBR US Equity,VCIT US Equity,GDX US Equity,PPLT US Equity,AIQ US Equity,QQQ US Equity,LMBS US Equity,BOTZ US Equity,SIL US Equity,URA US Equity,Cumulative return, Invested Capital 
04-01-2021,0.000268863,-0.000850643,-0.000988771,-0.000863387,-0.000674704,-0.001442275,-0.000772441,0.000257333,0.000571662,0.000975789,-0.001139339,-0.000908174,-0.000308227,-0.000199524,-0.000224591,-1.49E-05,-0.000152031,8.06E-05,,-0.000249127,-0.000757098,-2.47E-05,0.00276513,-0.000125087,-0.000382353,-0.000282399,3.89E-05,-0.00016297,0.002354231,0.000313112,-0.002897121,100000
05-01-2021,0.001332825,3.86E-05,0.000494552,0.000400171,0.000366847,0.000338648,0.000377408,0.000203684,0.000672056,0.000383169,0.000222312,-4.42E-05,0.000355017,0.000109845,0.000401811,0.001762509,-9.60E-05,0.000699991,,0.000306929,0.00011943,-3.71E-05,-1.04E-05,0.000917083,0.000593912,0.000164883,4.66E-05,0.000715152,0.000335366,0.001820529,0.012991629,101299.1629
06-01-2021,-0.00353739,-0.001037173,-0.001346462,-0.000995986,-0.000161409,-0.000308339,-0.001413441,-0.001052064,0.000552303,0.00100736,0.001468503,-0.000979553,0.000499451,-0.000484832,-0.001114047,-0.000205903,-0.000243083,-0.000122143,,0.000536542,-0.000421342,-6.61E-05,-4.16E-05,-0.000280829,-0.000687637,-0.000277047,-2.33E-05,5.95E-05,-0.000126633,-0.000200852,-0.011003506,100184.517
07-01-2021,0.003469816,0.00113828,0.001364929,0.000303086,0.001497147,0.002107131,0.001031104,0.002138824,0.001114865,0.002013667,0.000328956,0.000448906,-4.64E-05,0.000169327,0.002699799,0.00036061,-4.42E-06,0.001650376,,-0.000168827,0.001055311,-2.07E-05,-9.36E-05,0.000374734,0.00084853,0.00048384,7.76E-06,0.000606421,-0.000205894,0.001084559,0.025758137,102765.0835
08-01-2021,-0.000302158,0.000243712,0.000345249,0.000259822,0.000558397,0.000253727,-0.000217683,-0.0002438,6.86E-06,-0.000902578,0.000696179,0.00059605,-7.13E-05,0.000372511,-0.00026956,-0.000504087,-2.21E-05,-0.000143617,,6.84E-05,0.000559188,-3.11E-05,-0.00192859,-0.000976473,0.000670554,0.000257159,0,0.0002694,-0.001957317,-0.00090479,-0.003317945,102424.1146
11-01-2021,0.001557755,-0.000387943,-0.000929951,-0.000860653,-0.001120506,1.35E-05,-0.002005083,0.001129203,-0.000311947,0.001317718,-0.000532479,-0.000436271,7.79E-06,-0.00034138,-0.000460513,-0.000167715,-0.000128167,0.000599114,,-0.000334593,2.67E-05,-4.99E-05,-0.000810515,-0.000615877,-0.000358423,-0.000289001,-3.88E-05,-0.000232693,-0.000691455,-0.000457317,-0.006909402,101716.4252
12-01-2021,-0.000602136,-0.000470826,-5.58E-05,8.48E-05,-0.000570549,0.00040717,-0.001119374,-0.000779434,0.000497084,0.000130506,2.26E-05,-0.000257624,9.80E-05,-0.000250172,1.09E-05,-0.000591966,6.44E-05,0.000186492,,0.000195702,0.000364444,2.29E-05,0.000290665,0.000817,5.79E-05,-3.18E-05,0,0.000222352,0.000133541,-0.000928793,-0.002052018,101507.7013
13-01-2021,0.000209124,0.000262411,0.000649068,0.000577797,0.000224441,0.000202497,0.000109522,-0.001499659,0.000228305,-0.001226016,0.000786207,0.000602634,-0.000354458,0.000246845,0.000218169,-0.000130719,0.000232524,-0.000216281,,-4.52E-05,-0.000510901,7.28E-05,-0.000443951,0.000444004,4.33E-05,0.000135066,2.33E-05,3.49E-05,-0.000791048,0.00057508,0.000659761,101574.6721
14-01-2021,-0.001469871,-0.000613849,-0.000605088,-0.000485675,-0.000405267,9.53E-05,-0.001192179,-0.000431467,0.000436253,0.002422209,0.000252933,-1.96E-05,0.00032304,-0.000236502,0.000486259,0.000233918,-0.000129651,0.00099482,,4.27E-05,8.92E-05,-2.49E-05,-3.37E-05,0.000350979,0.0001443,-0.000106948,0,0.001,-0.000116067,0.00062069,0.001621837,101739.4096
15-01-2021,-0.001549056,-6.95E-05,-0.00054922,-0.000296726,-0.000114356,-0.000687947,0.001164305,-0.001136689,-0.001296667,-0.000385923,-0.000178117,0.000786898,-8.99E-05,-0.0002282,-0.000820385,-0.001271676,4.63E-05,-0.000778548,,-0.000154233,-0.000124638,1.45E-05,-0.001235608,-0.000891853,-0.00054637,-0.000158422,7.76E-06,-0.000839478,-0.001466758,-0.001253071,-0.014103578,100304.5199
19-01-2021,0.000773592,0.000712909,0.000217084,0.000212611,0.001574127,0.00150499,0.00193746,0.000562295,0.000484264,0.001938833,0.00028157,0.000362835,9.81E-05,0.000339683,-0.000349468,-6.17E-05,5.29E-05,0.001373317,,6.08E-05,0.000500112,6.22E-06,0.00041727,0.000278249,0.000787172,0.000291798,2.33E-05,0.000672074,0.00013692,-0.00025,0.014939317,101803.001
20-01-2021,0.001568486,0.001459989,0.001314245,0.001828016,0.002681393,0.000284147,0.001221754,-0.000313024,-8.74E-05,-0.000201066,0.000449221,0.000478278,0.000164304,0.00061635,-0.000302575,-0.000448916,-8.80E-06,-0.000166378,,0.000169172,0.000467475,6.22E-06,0.001342128,0.00047509,0.000943531,0.000465219,0,0.000592593,0.001449067,0.000368455,0.016816974,103515.0194
21-01-2021,0.002252166,0.000112329,0.001466333,0.000534415,0.000115533,0.000534771,0.001007552,0.001252958,-0.000149579,0.001077771,-0.000121356,-0.000323192,0.000241389,-0.000113677,0.000315028,-0.000348377,-0.000118821,0.000618668,,-0.00016239,-0.000322581,-1.45E-05,-0.00036626,0.000359358,0.000265363,0.00015999,-9.31E-05,-1.12E-05,-0.000437956,-0.000498084,0.007232551,104263.697
22-01-2021,-0.000670633,0.000174245,0.000642946,-0.00017829,0.000259087,-0.000192794,0.000298677,0.000550639,-0.000228084,-0.00149672,0.00017919,5.25E-05,-0.001981005,0.000324076,-4.47E-05,-6.45E-05,-2.21E-05,-0.000752596,,0.000108849,0.000175786,-2.28E-05,-0.000537665,-0.000505917,-0.000221991,-5.76E-05,2.33E-05,-0.000213423,-0.000402778,-0.000564935,-0.005369236,103703.8806
25-01-2021,-0.000259034,0.000633769,0.001107356,2.14E-05,-4.37E-05,-2.47E-05,0.000639344,0.000577648,0.000369124,0.000427443,0.000947631,8.32E-05,-5.07E-06,1.33E-05,0.000109913,0.000582053,0.000128224,0.000157722,,5.40E-05,-0.00031503,3.95E-05,-4.54E-05,-7.36E-05,0.000320893,0.000165325,7.77E-06,0.000191982,-0.000492726,0.00031767,0.005636007,104288.3564
