Date ,QTUM US Equity,CIBR US Equity,DRIV US Equity,AIQ US Equity,BOTZ US Equity,SIL US Equity,URA US Equity,QQA US Equity,KBWB US Equity,QQQ US Equity,RSP US Equity,IGV US Equity,INDA US Equity,EWJ US Equity,PFF US Equity,IWM US Equity,JEPQ US Equity,XRT US Equity,XLU US Equity,NLR US Equity,GDX US Equity,SMH US Equity,VDC US Equity,VTV US Equity,Cumulative,Invested Capital
04-01-2021,0.000284885,-0.001135647,0.000100125,-0.000573529,-0.000244455,0.003138974,0.000417482,,-0.000666931,-0.000564799,-0.000432805,-0.001369952,4.48E-05,-0.00035524,-0.000480395,-0.000261145,,-0.000121269,-0.001007974,-0.00033217,0.004147696,0.000120868,-0.000100046,-0.000255548,0.000352925,100000
05-01-2021,0.000744211,0.000179146,0.001449396,0.000890869,0.001072727,0.000447154,0.002427372,,0.000743487,0.000329766,0.00025537,0.000272201,0.000362193,0.00027861,0.000235973,0.000309044,,0.000223481,-6.54E-06,0.000409239,-1.56E-05,0.001049986,1.05E-05,0.000149864,0.011818449,101181.8449
06-01-2021,0.000147683,-0.000632013,0.000780805,-0.001031456,8.93E-05,-0.000168844,-0.000267803,,0.004774936,-0.000554095,0.000717047,-0.001677092,-6.34E-05,0.000356189,-0.0003262,0.000818362,,0.000411022,0.000994927,0.000715389,-6.23E-05,-0.000183214,2.55E-05,0.000481744,0.005346487,101722.8123
07-01-2021,0.001025017,0.001582967,0.002577278,0.001272795,0.000909631,-0.000274526,0.001446078,,0.00171524,0.000967679,0.000298151,0.00192198,-9.29E-05,-6.16E-05,-0.000131337,0.000355938,,7.10E-05,-0.000523711,-0.000225103,-0.000140406,0.002475564,-2.72E-05,0.000148552,0.015291087,103278.2647
08-01-2021,4.51E-05,0.000838782,0.001200924,0.001005831,0.0004041,-0.002609756,-0.001206387,,-0.000634173,0.000514318,5.26E-05,0.001125576,0.000471513,0.000551146,0,-4.32E-05,,7.34E-06,0.000336515,9.12E-05,-0.002892885,-0.000215426,5.11E-05,1.47E-05,-0.000891082,103186.2353
11-01-2021,0.000264908,4.00E-05,-0.000430189,-0.000537634,-0.00034904,-0.00092194,-0.000609756,,0.000793564,-0.000578002,-3.43E-05,-0.000618928,-0.000110365,-0.000281426,-0.000355544,-1.73E-05,,0.000212735,-0.000372212,-0.000446124,-0.001215772,0.000898672,-9.18E-05,3.44E-05,-0.004726053,102698.5717
12-01-2021,0.000217342,0.000546667,0.001436716,8.68E-05,0.000333528,0.000178055,-0.00123839,,0.001050443,-6.36E-05,0.000235572,5.77E-05,0.000178528,0.000157343,-0.000119363,0.000358485,,0.000316047,-0.000213765,0.000260936,0.000435998,0.000279738,-2.86E-05,8.34E-05,0.00454958,103165.807
13-01-2021,-1.30E-05,-0.000766351,-4.45E-05,6.50E-05,5.24E-05,-0.001054731,0.000766773,,-0.00032419,0.000270133,-9.76E-05,-0.000162939,-7.65E-05,8.70E-05,0.000731189,-0.000142952,,-4.18E-05,0.000781504,-6.03E-05,-0.000665927,-0.000324421,1.40E-05,1.46E-05,-0.000992612,103063.4034
14-01-2021,0.001012443,0.000133839,0.000356612,0.00021645,0.0015,-0.000154756,0.000827586,,0.001215104,-0.000213897,0.000100175,-0.000330621,6.72E-05,0.000312139,1.31E-05,0.000399523,,0.000309048,-0.000153306,5.70E-05,-5.05E-05,0.001492231,-3.62E-05,9.11E-05,0.00716427,103801.7775
15-01-2021,-0.000490869,-0.000186957,-0.001506647,-0.000819554,-0.001259217,-0.001955677,-0.001670762,,-0.002253298,-0.000316844,-0.000224643,-0.000382218,-0.00038756,-0.000514874,-0.000130993,-0.000298214,,-0.000236028,0.000391151,-0.000205644,-0.001853412,-0.001167822,-4.45E-05,-0.000194285,-0.015708867,102171.1692
19-01-2021,0.001209234,0.000750167,0.001886364,0.001180758,0.001008111,0.000182561,-0.000333333,,0.000330789,0.000583595,0.000144033,0.001002041,6.83E-05,0.000174622,0.000302075,0.000256228,,4.86E-05,-0.000152405,8.11E-05,0.000625906,0.002059976,-2.47E-05,8.50E-05,0.011469022,103342.9725
20-01-2021,0.000241883,0.000701213,0.000727139,0.001415297,0.000888889,0.00193209,0.000491273,,-0.001266281,0.000930438,0.000186576,0.001358857,0.000418186,0.00015191,0.000208877,8.81E-05,,3.59E-05,0.000235857,0.000225563,0.002013192,-0.000249568,3.36E-05,5.05E-05,0.010819491,104461.0909
21-01-2021,0.000150644,-0.000483871,0.00063135,0.000398045,-1.68E-05,-0.000583942,-0.000664112,,-0.000967207,0.00031998,-0.000151504,-0.000252975,-9.05E-05,-0.000116597,-0.000195008,-0.000173516,,7.99E-05,-0.000234474,-0.00021652,-0.00054939,0.000928001,-4.35E-05,-9.74E-05,-0.002329396,104217.7597
22-01-2021,-6.52E-05,0.000263678,-0.000193896,-0.000332986,-0.000320135,-0.000537037,-0.000753247,,-0.000156921,-0.00011521,-0.000127273,8.01E-05,-0.000215311,1.73E-05,9.14E-05,0.000232438,,0.000232336,5.74E-05,0.000145132,-0.000806497,-0.001128894,-2.01E-05,-0.000120757,-0.00377368,103824.4752
25-01-2021,0.000168568,-0.000472544,8.65E-05,0.000481339,0.000287973,-0.000656969,0.000423561,,-0.00068152,0.00033065,-2.74E-05,-0.000218488,-0.0003289,0.000116984,-0.000130276,-1.95E-05,,0.00017497,0.000802037,7.20E-05,-6.81E-05,0.000236583,0.000107654,0,0.000685122,103895.6076
26-01-2021,-0.000341351,-0.000542448,-4.32E-05,-0.000435986,-0.000236021,-3.82E-05,0.000890635,,-0.000767631,5.85E-05,-0.000148492,-0.000389422,-4.92E-06,4.32E-06,-0.000130617,-0.00013874,,0.000689157,-0.000399376,0.000321173,-0.000170503,-0.001036878,0.000100655,-6.07E-05,-0.002820045,103602.6173
27-01-2021,-0.000503959,-0.000493992,-0.001922246,-0.001913559,-0.000863188,-0.002168099,-0.001998719,,-0.002448863,-0.001115067,-0.000691054,-0.001627404,-0.000418101,-0.000655926,-0.000694081,-0.00036662,,0.001203488,-0.001077844,-0.001161732,-0.00230835,-0.002930585,-0.000150637,-0.000487443,-0.024793981,101033.896
28-01-2021,-0.000500545,0.000296163,-0.000423949,0.000680468,-0.000274757,0.003352689,2.70E-05,,0.001469889,0.000236672,0.000265549,0.00131357,0.000306456,0.000194118,0.000464807,-6.40E-05,,-0.000905404,0.000479352,0.000532079,0.001493776,0.001255252,2.59E-05,0.00025825,0.010483335,102093.0682
29-01-2021,-0.000816579,-0.001165439,-0.001797753,-0.000939836,-0.00160437,0.000791987,-0.000862534,,-0.001684129,-0.000841529,-0.000533427,-0.001010538,-0.00063335,-0.000635593,-0.000197368,-0.000302798,,0.000607448,-0.000217635,-0.000823543,-0.000121457,-0.001094359,-0.000214152,-0.000333278,-0.014430232,100619.8415
01-02-2021,0.001179914,0.001120219,0.001621622,0.001952984,0.001293944,0.004833257,0.004077135,,0.000821074,0.000999491,0.000398419,0.001741673,0.000807358,0.00031348,7.93E-05,0.000491341,,-0.000574935,0.000193081,0.000497661,0.002034193,0.002351176,1.26E-05,0.000144043,0.02638903,103275.1015
02-02-2021,0.000419948,0.001233795,0.00081203,0.000945709,0.000850202,-0.004035052,-0.000525,,0.001801926,0.000652565,0.000395538,0.001830564,0.000476424,0.000239326,0.000184648,0.000284887,,-0.000820976,0.000326661,5.59E-05,-0.001782511,0.000820417,8.38E-05,0.000255742,0.004506543,103740.5152
03-02-2021,-0.000238095,-0.001550591,0.000445104,0.000268966,-0.000342173,-0.000362647,0.000227992,,0.001327586,-0.000158691,7.85E-05,-0.000358691,0.000153514,0.000175876,-0.000183968,5.99E-05,,0.000168111,-0.000127065,0.000144864,-1.73E-05,-0.001128566,2.79E-05,7.64E-05,-0.001313074,103604.2962
04-02-2021,0.000361459,0.001106115,0.000287187,0.000267765,-0.000103241,-0.000713632,-0.000377834,,0.002105659,0.000473068,0.000382459,0.0011449,9.52E-05,3.50E-05,0.000131891,0.000407935,,-3.36E-05,0.000312301,0.000235294,-0.001334874,0.000694219,6.87E-05,0.000213488,0.005759459,104201.0009
05-02-2021,0.00046612,0.00010596,0.000395749,0.000492139,0.000430911,0.000950163,0.00144946,,2.56E-05,0.000135659,0.000154698,0.001166101,0,0.000235774,0.00011839,0.000277193,,0.000220321,0.00021502,0.000417181,0.001365248,-0.000435572,9.17E-05,0.000104798,0.008382613,105074.4776
08-02-2021,0.001228669,0.000449537,0.00098289,0.000589831,0.000975471,0.000864422,0.001865031,,0.001085568,0.000267986,0.000350811,0.000146622,0.000222696,0.000537184,5.25E-05,0.000510715,,0.000153436,-0.000308225,0.000305585,0.001057498,0.002005017,6.67E-05,0.000185698,0.013595642,106503.0326
09-02-2021,0.00057947,0.000695538,0.00015043,0.000392749,0.000808308,-3.56E-05,0.00028136,,6.29E-05,-8.39E-06,-1.12E-05,0.000594523,-7.03E-05,0.000161725,3.93E-05,9.41E-05,,-5.37E-05,5.71E-05,7.76E-05,-6.81E-05,-0.000177727,4.92E-06,-8.07E-06,0.003566936,106882.9221
10-02-2021,-0.000709914,-0.000415135,-0.000214362,0.000350175,-4.98E-05,-0.00038333,0.001001164,,-1.26E-05,-9.12E-05,9.18E-05,-0.00014141,4.70E-06,-5.50E-05,-2.62E-05,-0.00013136,,-7.53E-06,0.000158253,0.00029683,0.000170551,0.000153497,-1.50E-05,2.42E-05,-1.671E-06,106882.7435
11-02-2021,0.000938733,0.000248204,0.000408749,0.000537135,0.000432373,-0.000639064,0.000249858,,-0.000502693,0.000219985,8.92E-06,0.000472936,0.000216267,0.000156913,-0.000117955,-2.29E-05,,5.40E-05,-0.000226986,-7.73E-05,-0.00079932,0.002222497,-3.19E-05,-2.42E-05,0.003724252,107280.8018
12-02-2021,0.000562581,0.000182134,0.000320513,0.000138022,0.000198129,0.000457352,0.000225734,,0.00078481,0.000223564,0.000180669,0.000533737,4.65E-06,0.000185628,-0.000144509,5.65E-05,,0,-0.000291693,-0.000175996,-5.17E-05,0.00061674,1.10E-05,9.69E-05,0.004114765,107722.237
16-02-2021,-0.00013055,-0.000894942,0.000233794,0.000236066,-0.000148108,-0.000262265,0.003007856,,0.002165594,-0.000108188,2.22E-05,-0.00019773,-4.19E-05,0.000129979,-0.000250329,-0.000125847,,-4.25E-05,-0.000447141,-8.77E-05,-0.001190339,0.000367693,-2.03E-05,3.05E-05,0.002245843,107964.1643
17-02-2021,-0.000353343,-0.000315997,-0.000804517,-0.000372306,-0.001006324,-0.000737369,-4.18E-05,,0.000254987,-0.000191929,-1.55E-05,-0.000676733,8.39E-05,-4.17E-05,-2.65E-05,-0.000156755,,-7.78E-05,3.23E-05,-9.00E-05,-0.001531241,-0.001161955,3.26E-05,7.54E-05,-0.007122582,107195.1807
18-02-2021,-0.000510431,-6.62E-05,-0.001201717,-0.000473217,-0.000587248,-0.000686297,-0.002528736,,-0.000580712,-0.000174887,-0.000168465,-0.000200226,-6.50E-05,-0.000359532,0,-0.000309738,,-0.000134092,0.000238825,-0.000220564,-0.000776641,-0.00063784,-3.94E-05,-0.00010549,-0.009587608,106167.4353
