Date,NOW US Equity,CCJ US Equity,SMH US Equity,C US Equity,CRM US Equity,QCOM US Equity,NEE US Equity,EWJ US Equity,AMZN US Equity,AMT US Equity,UBER US Equity,APO US Equity,EQIX US Equity,AMD US Equity,QTUM US Equity,DLR US Equity,IBKR US Equity,CDNS US Equity,FCX US Equity,GS US Equity,BOTZ US Equity,JCI US Equity,NEM US Equity,JPM US Equity,NXPI US Equity,META US Equity,NVDA US Equity,DRIV US Equity,TSM US Equity,TTWO US Equity,MU US Equity,NLR US Equity,AVGO US Equity,IGV US Equity,CIBR US Equity,MSFT US Equity,KBWB US Equity,GDX US Equity,PPLT US Equity,SYF US Equity,AIQ US Equity,CEG US Equity,QQQ US Equity,GOOGL US Equity,FLG US Equity,AMAT US Equity,BAC US Equity,SIL US Equity,URA US Equity,IBM US Equity,AAPL US Equity,ON US Equity,Cumulative return,Invested Capital
04-01-2021,-0.00042874,-7.46E-06,6.04E-05,-0.000493026,-9.98E-05,-0.000252068,-0.001139339,-0.000118413,-0.00064754,-0.00021652,2.75E-05,-0.000494079,-0.00060545,0.000193,0.000142443,-0.000302487,0.000101773,-9.82E-05,0.000430438,9.78E-05,-4.07E-05,-8.80E-05,0.000544331,-9.44E-05,0.000381108,-0.000463465,0.000179242,3.34E-05,0.000487894,-0.000285866,-0.000300612,-8.30E-05,-0.000865365,-0.000391415,-0.000378549,-0.000850643,-0.000190552,0.001382565,-6.25E-05,-0.000164218,-0.000191176,,-0.000282399,-0.000604802,-9.48E-05,6.60E-05,-0.000184758,0.001569487,0.000208741,-0.000154114,-0.000741578,-5.50E-05,-0.005564912,100000
05-01-2021,9.68E-05,0.000881255,0.000524993,0.000518789,5.49E-05,0.000264646,0.000222312,9.29E-05,0.000300128,5.05E-05,0.000561205,0.000154909,-2.95E-05,0.000152763,0.000372105,-0.000172223,0.00063041,5.60E-05,0.000453206,0.000447547,0.000178788,0.000290169,4.43E-05,-1.75E-05,0.000448038,0.000226445,0.00088855,0.000483132,0.000191585,0.000143176,0.000866982,0.00010231,0.000203189,7.78E-05,5.97E-05,3.86E-05,0.000212425,-5.19E-06,0.000458541,0.000184534,0.000296956,,0.000164883,0.000322569,0.000209524,0.000314263,0.00015318,0.000223577,0.001213686,0.000177509,0.000370914,0.000505051,0.014661331,101466.1331
06-01-2021,-0.000464329,-0.000102951,-9.16E-05,0.001150729,-0.000242416,-8.13E-05,0.001468503,0.00011873,-0.000746989,-0.000263694,-0.000283281,-0.000265891,-0.000653035,-0.000789048,7.38E-05,-6.39E-05,0.00118746,-0.000807992,0.000630948,0.001079246,1.49E-05,0.000469276,0.000285354,0.000469558,0.000368202,-0.000848064,-0.00235826,0.000260268,0.00050368,-0.000156784,-3.88E-05,0.000178847,-0.000185004,-0.000479169,-0.000210671,-0.001037173,0.001364267,-2.08E-05,-0.000140415,0.000606845,-0.000343819,,-0.000277047,-0.000394929,0.000735156,0.000137277,0.001249174,-8.44E-05,-0.000133901,0.000249725,-0.001009847,0.000758579,0.000785015,101545.7855
07-01-2021,8.18E-05,0.000180305,0.001237782,0.000236015,8.47E-05,0.0002983,0.000328956,-2.05E-05,0.000227315,0.000121457,0.000695503,-0.000252632,0.000299271,0.001604118,0.000512509,0.000113542,0.000678523,0.000981323,0.000334881,0.000427246,0.000151605,0.000287437,-1.53E-05,0.000328392,0.000743243,0.000618662,0.002313211,0.000859093,0.001006833,0.00032154,0.000518739,-5.63E-05,0.001264279,0.000549137,0.000527656,0.00113828,0.000490069,-4.68E-05,0.000187367,-4.61E-05,0.000424265,,0.00048384,0.001194744,-5.45E-05,0.000410657,0.00044168,-0.000137263,0.000723039,-2.32E-05,0.001023697,0.001145038,0.024943454,104078.6882
08-01-2021,0.000356864,-0.000252044,-0.000107713,-0.00019691,0.000186256,6.04E-05,0.000696179,0.000183715,0.000194867,0.000216092,-0.00050775,2.56E-05,0.000397367,-0.00018285,2.25E-05,-7.48E-07,0.000202371,-0.000125502,-6.42E-06,-0.000107663,6.73E-05,2.34E-05,-0.000360761,1.10E-05,4.57E-06,-0.00013061,-0.000201439,0.000400308,-0.000451289,0.000116341,-0.000427253,2.28E-05,0.000152236,0.000321593,0.000279594,0.000243712,-0.000181192,-0.000964295,-0.000488236,-3.54E-05,0.000335277,,0.000257159,0.000529774,-0.000145852,0.000105753,-0.000200852,-0.001304878,-0.000603193,-3.57E-05,0.000258937,0.000135747,-0.001210838,103952.6657
11-01-2021,-0.000124611,-8.39E-05,0.000449336,0.000327367,-0.00017069,-3.38E-05,-0.000532479,-9.38E-05,-0.00064549,-0.000327633,0.000245871,0.000212947,-0.000290847,0.000846902,0.000132454,-0.000174401,-0.000294791,-0.00022028,-0.000266453,0.000258549,-5.82E-05,-6.04E-05,-0.000133779,0.000149243,-0.000207964,-0.00120305,0.001038503,-0.000143396,0.000658859,-0.00018486,0.000322914,-0.000111531,8.08E-06,-0.000176837,1.33E-05,-0.000387943,0.000226732,-0.000405257,-0.000307938,-7.93E-05,-0.000179211,,-0.000289001,-0.00092422,7.35E-05,0.000251151,0.000332001,-0.00046097,-0.000304878,3.89E-06,-0.000697463,0.000447635,-0.003576139,103580.9166
12-01-2021,-0.000188319,-0.000295983,0.000139869,6.92E-05,-0.000125086,-0.000106335,2.26E-05,5.24E-05,6.36E-05,-4.65E-07,0.000723576,-0.000202276,-0.000171749,-0.000584576,0.000108671,1.83E-05,0.000159768,-0.000144034,0.000220976,0.000570398,5.56E-05,0.000166699,8.72E-05,0.000157189,0.00033139,-0.000671624,-0.000401424,0.000478905,6.53E-05,-0.0003578,0.000200839,6.52E-05,0.000244302,1.65E-05,0.000182222,-0.000470826,0.000300127,0.000145333,0.0004085,7.44E-05,2.89E-05,,-3.18E-05,-0.000429539,0.000237877,0.000209269,0.000356819,8.90E-05,-0.000619195,4.90E-05,-4.19E-05,0.000299584,0.001556582,103742.1487
13-01-2021,0.000165627,-6.54E-05,-0.00016221,5.70E-05,0.000123422,0.000192295,0.000786207,2.90E-05,0.000433348,7.21E-05,0.000146908,6.81E-05,0.000401756,-0.001124744,-6.49E-06,0.000124705,6.05E-05,5.98E-05,-0.000138754,4.83E-05,8.73E-06,3.28E-05,-6.72E-05,9.27E-06,0.000152204,6.57E-05,0.000139416,-1.48E-05,-0.000613008,1.76E-05,0.000113265,-1.51E-05,0.000121498,-4.66E-05,-0.00025545,0.000262411,-9.26E-05,-0.000221976,0.000222002,0.000232495,2.17E-05,,0.000135066,0.00022608,-0.000180832,-0.00019598,-0.000118835,-0.000527365,0.000383387,-0.000177229,0.000486801,0.000477891,0.001852811,103934.3633
14-01-2021,-0.000140886,0.000116959,0.000746115,0.000643135,-0.000118251,0.000217888,0.000252933,0.000104046,-0.000364257,-6.79E-05,-0.000419192,0.000453967,-1.30E-05,-0.0003236,0.000506221,2.25E-05,-0.000261457,0.000190874,0.000467932,0.000325477,0.00025,8.46E-05,0.000202997,5.84E-05,0.000290835,-0.000715308,-0.000979914,0.000118871,0.001211105,-0.000202005,0.000347891,1.42E-05,5.72E-05,-9.45E-05,4.46E-05,-0.000613849,0.000347173,-1.68E-05,0.00017549,0.000400962,7.22E-05,,-0.000106948,-0.000374071,0.000310219,0.000790413,0.000316796,-7.74E-05,0.000413793,0.00016152,-0.000453816,0.000738037,0.005112195,104465.6961
15-01-2021,-1.17E-05,-0.000635838,-0.000583911,-0.001385306,-0.0001141,-0.000233758,-0.000178117,-0.000171625,-0.000222545,0.000227918,-0.000244245,-0.000107861,0.000524599,-0.000852517,-0.000245434,0.000227051,9.32E-05,-0.00011226,-0.00051266,-0.000445643,-0.00020987,-0.000122021,-0.000232117,-0.000179217,-0.000864444,0.000698583,-0.001032704,-0.000502216,-0.000192962,4.14E-05,-0.000142681,-5.14E-05,-0.000412768,-0.000109205,-6.23E-05,-6.95E-05,-0.000643799,-0.000617804,-0.000445927,-3.60E-05,-0.000273185,,-0.000158422,-7.63E-05,-0.00032345,-0.000251418,-0.00057664,-0.000977839,-0.000835381,-4.50E-05,-0.000411915,-0.000941953,-0.015043207,102894.197
