Date,QQA US Equity,JEPQ US Equity,DOW US Equity,PFE US Equity,VZ US Equity,E US Equity,PFF US Equity,TGT US Equity,AES US Equity,SWK US Equity,F US Equity,SWKS US Equity,PR US Equity,NTR US Equity,AMT US Equity,LQD US Equity,GLD US Equity,LMBS US Equity,SIL US Equity,IGIB US Equity,VCIT US Equity,TTE  US Equity,TEF US Equity,GDX US Equity,Cumulative return,Invested Capital
04-01-2021,,,-0.000789189,0,3.40E-05,0.000276699,-0.000768632,0.000124625,-0.000553191,-0.001547379,-0.000614334,-0.000282575,-0.0004,0.000527409,-0.000866079,-0.000354738,0.000667751,6.80E-05,0.003138974,-6.47E-05,-8.65E-05,-0.001368515,9.90E-05,0.00276513,5.756E-06,100000
05-01-2021,,,0.000977054,0.000206466,-9.18E-05,0.001212121,0.000377556,0.000308506,0.001678141,0.000138175,0.000305164,0.000740446,0.004256757,0.000283229,0.000202186,-0.000224114,8.88E-05,8.15E-05,0.000447154,-0.000181406,-0.00012987,0,0.000295567,-1.04E-05,0.010961232,101096.1232
06-01-2021,,,0.001413978,-0.000172089,0.000242404,0.001067961,-0.000521921,0.000948051,0.001998335,0.001077411,0.000439306,0.00028023,0.00035503,0.000650309,-0.001054778,-0.000567195,-0.000487231,-4.07E-05,-0.000168844,-0.000246753,-0.000231309,0.002214152,0.001067961,-4.16E-05,0.008222708,101927.4071
07-01-2021,,,4.11E-05,0.000103065,-0.000256367,0.000160714,-0.000210139,0.000230786,-0.0005004,0.000200862,0.000497738,0.00052874,0.004912281,-2.70E-05,0.00048583,-1.03E-05,-7.00E-05,1.36E-05,-0.000274526,-7.82E-05,-7.25E-05,0.00035348,0.000506912,-9.36E-05,0.006442076,102584.0312
08-01-2021,,,-0.00015382,3.78E-05,-0.000249445,-0.00035968,0,0.000261643,0.001395067,-0.000116672,-0.00013245,9.84E-05,0,-0.000112207,0.000864368,-5.15E-05,-0.001026298,0,-0.002609756,-0.000130399,-0.000108899,-4.53E-05,-0.000134831,-0.00192859,-0.004502569,102122.1395
11-01-2021,,,0.000334994,0.000344735,-0.000117647,-0.00021573,-0.00056887,0.000173554,7.87E-05,-6.45E-05,0.000666667,-0.000174945,0.000452261,-1.56E-05,-0.001310531,-0.000299057,-5.88E-05,-6.79E-05,-0.00092194,-0.000169796,-0.000174509,-0.000511879,-0.000135747,-0.000810515,-0.003567055,101757.8642
12-01-2021,,,0.001111111,-0.000312417,-6.96E-05,9.51E-05,-0.000190981,0.000391233,0.001099764,2.04E-05,0.001032258,-0.00047763,0.005049505,0.001203271,-1.86E-06,0.00015017,0.00019422,0,0.000178055,9.16E-05,8.02E-05,7.25E-05,0.00022779,0.000290665,0.010235354,102799.392
13-01-2021,,,-0.000496396,-0.000172136,-6.99E-05,-0.000135379,0.001169902,-0.000229031,0.001652575,-0.000516802,0,-3.67E-05,-0.001144068,-0.000448118,0.000288493,0.000542556,-0.000129221,4.08E-05,-0.001054731,0.000274555,0.000254837,-0.000447172,0.001801802,-0.000443951,0.000701915,102871.5484
14-01-2021,,,-0.000189905,-5.97E-05,-7.01E-06,0.000108794,2.10E-05,0.000120923,0.001060268,-4.50E-05,0.000797546,1.14E-05,0.00284141,0.000281796,-0.000271644,-0.00030252,-1.56E-05,0,-0.000154756,-0.000143322,-8.71E-05,0.00076769,-0.000495868,-3.37E-05,0.004204702,103304.0926
15-01-2021,,,-0.001176865,-2.72E-05,0.000119215,-0.001178862,-0.000209589,-0.000324226,0.000273224,-9.35E-05,-0.000668633,-0.000757058,6.04E-05,-0.000125973,0.00091167,0.000108144,-0.00037223,1.36E-05,-0.001955677,7.83E-05,5.08E-05,-0.000582556,-0.000677966,-0.001235608,-0.00777059,102501.3589
